Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,31.463,31.751,31.356,31.751,23062233,0
2017-01-04,31.877,32.089,31.781,32.029,22309569,0
2017-01-05,32.107,32.414,31.867,32.338,20771884,0
2017-01-06,32.387,32.424,32.079,32.212,18092382,0
2017-01-09,32.165,32.395,32.116,32.203,21249078,0
2017-01-10,32.318,32.387,32.059,32.175,20160249,0
2017-01-11,32.107,32.271,31.174,31.587,42024366,0
2017-01-12,31.298,31.385,31.077,31.366,32992490,0
2017-01-13,31.434,31.539,31.106,31.289,21071789,0
2017-01-17,31.126,31.154,30.577,30.847,33366471,0
2017-01-18,30.875,31.054,30.741,30.817,22291438,0
2017-01-19,30.847,30.875,30.337,30.499,27134921,0
2017-01-20,30.519,30.904,30.463,30.569,31276351,0
2017-01-23,30.481,30.615,30.251,30.269,25734490,0
2017-01-24,30.211,30.269,29.73,29.971,30784661,0
2017-01-25,30.173,30.327,29.923,30.105,33432133,0
2017-01-26,30.211,30.279,30.019,30.096,28252250,0
2017-01-27,30.279,30.347,30.077,30.231,24997666,0
2017-01-30,30.279,30.307,29.884,30.125,28513282,0
2017-01-31,29.836,30.721,29.763,30.529,38896309,0
2017-02-01,30.626,30.801,30.383,30.782,29295163,0
2017-02-02,30.587,30.84,30.442,30.84,24030781,0
2017-02-03,31.219,31.336,31.025,31.19,37028115,0
2017-02-06,31.102,31.423,31.044,31.326,25228482,0
2017-02-07,31.413,31.443,31.044,31.18,24190155,0
2017-02-08,31.025,31.438,31.025,31.239,19712210,0
2017-02-09,31.355,31.627,31.326,31.472,24503613,0
2017-02-10,31.5,31.54,31.326,31.443,19858623,0
2017-02-13,31.53,31.774,31.53,31.695,21177288,0
2017-02-14,31.617,31.851,31.443,31.831,23621199,0
2017-02-15,31.861,32.638,31.769,32.57,46780916,0
2017-02-16,32.512,32.934,32.289,32.677,39436563,0
2017-02-17,32.648,32.939,32.59,32.677,35977014,0
2017-02-21,32.629,32.852,32.541,32.677,24784699,0
2017-02-22,32.628,32.803,32.317,32.648,27992436,0
2017-02-23,32.755,33.163,32.638,33.105,31356038,0
2017-02-24,33.212,33.387,33.036,33.3,25424975,0
2017-02-27,33.27,33.494,33.203,33.319,22460260,0
2017-02-28,33.143,33.304,32.959,33.163,28273026,0
2017-03-01,33.309,33.561,33.096,33.454,33193428,0
2017-03-02,33.494,33.775,33.454,33.542,26309319,0
2017-03-03,33.454,33.674,33.397,33.551,19350358,0
2017-03-06,33.367,33.504,33.123,33.387,18715278,0
2017-03-07,32.92,33.24,32.803,33.036,30044786,0
2017-03-08,32.959,33.143,32.775,32.959,23217274,0
2017-03-09,32.929,33.183,32.832,33.096,19716736,0
2017-03-10,33.183,33.357,33.046,33.153,19499833,0
2017-03-13,33.183,33.193,32.959,33.153,19439429,0
2017-03-14,33.066,33.367,33.026,33.26,15192103,0
2017-03-15,33.26,33.727,33.221,33.658,23689304,0
2017-03-16,33.601,33.658,33.29,33.464,21295708,0
2017-03-17,33.494,33.61,33.309,33.357,44644955,0
2017-03-20,33.434,33.532,33.357,33.416,17995581,0
2017-03-21,33.513,33.639,33.221,33.29,32293184,0
2017-03-22,33.337,33.571,33.036,33.504,26871583,0
2017-03-23,33.357,33.591,33.27,33.327,20868682,0
2017-03-24,33.309,33.309,32.989,33.046,27901248,0
2017-03-27,32.794,33.347,32.794,33.221,18388941,0
2017-03-28,33.105,33.3,33.017,33.203,18865706,0
2017-03-29,33.203,33.484,33.153,33.367,17779583,0
2017-03-30,33.23,33.474,33.193,33.387,15425753,0
2017-03-31,33.25,33.416,33.203,33.25,19139003,0
2017-04-03,33.153,33.387,33.143,33.28,18610031,0
2017-04-04,33.221,33.532,33.096,33.377,19839419,0
2017-04-05,33.367,33.551,33.193,33.23,19823728,0
2017-04-06,33.183,33.387,33.105,33.153,16740998,0
2017-04-07,33.133,33.29,33.086,33.143,14376451,0
2017-04-10,33.173,33.255,33.017,33.086,16450669,0
2017-04-11,33.066,33.123,32.794,32.979,19674867,0
2017-04-12,32.929,33.036,32.765,32.969,25401847,0
2017-04-13,32.929,33.066,32.872,32.929,13221343,0
2017-04-17,32.949,33.096,32.872,33.046,15582498,0
2017-04-18,32.813,32.929,32.716,32.891,21761595,0
2017-04-19,32.9,32.959,32.609,32.667,24603093,0
2017-04-20,32.687,32.92,32.541,32.794,18877812,0
2017-04-21,32.697,32.784,32.531,32.697,24069444,0
2017-04-24,33.026,33.076,32.706,32.794,21844838,0
2017-04-25,32.872,33.007,32.765,32.813,19284889,0
2017-04-26,32.91,33.076,32.9,32.9,20386086,0
2017-04-27,33.007,33.066,32.822,32.91,15260123,0
2017-04-28,32.929,32.989,32.803,32.969,16440302,0
2017-05-01,32.939,33.036,32.822,32.832,23339238,0
2017-05-02,32.638,32.775,31.958,32.667,41505580,0
2017-05-03,32.541,32.648,32.366,32.531,25530214,0
2017-05-04,32.502,32.648,32.386,32.512,26254844,0
2017-05-05,32.502,32.541,32.298,32.541,22450779,0
2017-05-08,32.463,32.677,32.414,32.512,24190019,0
2017-05-09,32.618,32.648,32.414,32.444,17593840,0
2017-05-10,32.385,32.503,32.287,32.414,33673082,0
2017-05-11,32.375,32.522,32.237,32.424,25542680,0
2017-05-12,32.277,32.453,32.277,32.395,17960467,0
2017-05-15,32.355,32.561,32.189,32.503,19768086,0
2017-05-16,31.953,32.189,31.787,31.993,41015736,0
2017-05-17,31.707,31.963,31.609,31.629,28918000,0
2017-05-18,31.6,31.815,31.472,31.619,24048546,0
2017-05-19,31.698,31.855,31.59,31.855,28854409,0
2017-05-22,31.895,31.895,31.521,31.521,25832947,0
2017-05-23,31.521,31.679,31.482,31.541,17886724,0
2017-05-24,31.571,31.674,31.374,31.453,22906835,0
2017-05-25,31.463,31.6,31.374,31.561,17621277,0
2017-05-26,31.58,31.688,31.501,31.541,11919185,0
2017-05-30,31.463,31.707,31.423,31.531,16351862,0
2017-05-31,31.679,32.179,31.531,32.041,29666806,0
2017-06-01,32.061,32.237,31.913,32.101,24329279,0
2017-06-02,32.159,32.267,31.835,31.933,21106399,0
2017-06-05,31.904,31.973,31.6,31.747,14467618,0
2017-06-06,31.698,31.762,31.443,31.472,18191608,0
2017-06-07,31.482,31.561,31.305,31.403,16880371,0
2017-06-08,31.463,31.501,31.08,31.158,34337755,0
2017-06-09,31.217,32.189,31.148,32.159,30690873,0
2017-06-12,32.139,32.503,31.895,32.091,29412054,0
2017-06-13,32.101,32.169,31.913,31.973,17479690,0
2017-06-14,31.983,32.149,31.855,32.081,14062719,0
2017-06-15,32.011,32.414,31.953,32.199,19289430,0
2017-06-16,32.365,32.513,32.199,32.355,32249018,0
2017-06-19,32.326,32.63,32.297,32.601,21194088,0
2017-06-20,32.591,33.121,32.532,32.934,26561310,0
2017-06-21,32.954,33.459,32.954,33.248,26232117,0
2017-06-22,33.318,33.837,33.288,33.426,21810509,0
2017-06-23,33.444,33.582,33.336,33.533,30097392,0
2017-06-26,33.524,33.572,33.331,33.406,14219864,0
2017-06-27,33.494,33.494,33.121,33.14,15541787,0
2017-06-28,33.228,33.356,33.022,33.121,15075814,0
2017-06-29,33.17,33.238,32.748,33.003,15199527,0
2017-06-30,33.102,33.165,32.886,32.964,13768128,0
2017-07-03,32.856,33.336,32.846,33.19,8673990,0
2017-07-05,33.308,33.318,32.871,33.013,16502743,0
2017-07-06,33.013,33.042,32.522,32.601,14173254,0
2017-07-07,32.63,32.738,32.405,32.728,16778579,0
2017-07-10,32.738,32.905,32.62,32.787,13770655,0
2017-07-11,32.777,32.846,32.434,32.552,12273769,0
2017-07-12,32.718,32.905,32.581,32.601,14093829,0
2017-07-13,32.601,32.718,32.375,32.66,13633522,0
2017-07-14,32.65,32.924,32.62,32.807,12738104,0
2017-07-17,32.817,32.846,32.522,32.63,17098844,0
2017-07-18,32.611,32.768,32.424,32.738,14846092,0
2017-07-19,32.748,33.062,32.689,32.994,18764679,0
2017-07-20,32.846,33.072,32.714,32.915,17185212,0
2017-07-21,32.846,32.954,32.768,32.856,12251315,0
2017-07-24,32.758,32.821,32.552,32.699,14792437,0
2017-07-25,32.758,32.856,32.395,32.483,20162536,0
2017-07-26,32.473,32.483,32.213,32.277,16022242,0
2017-07-27,32.179,32.385,32.081,32.385,16973287,0
2017-07-28,32.444,32.552,32.199,32.532,16037696,0
2017-07-31,32.591,32.768,32.522,32.542,22398282,0
2017-08-01,32.424,32.679,32.11,32.463,26879752,0
2017-08-02,32.572,32.622,32.404,32.622,29104014,0
2017-08-03,32.652,33.504,32.562,33.127,27516648,0
2017-08-04,33.276,33.692,33.177,33.335,26026126,0
2017-08-07,33.246,33.286,32.949,33.008,12616474,0
2017-08-08,33.028,33.157,32.914,32.979,16178880,0
2017-08-09,33.038,33.157,32.86,33.147,15133643,0
2017-08-10,33.068,33.246,32.91,33.117,18249381,0
2017-08-11,33.197,33.261,32.909,32.949,13043277,0
2017-08-14,33.028,33.063,32.84,33.008,12908293,0
2017-08-15,33.038,33.226,32.959,33.078,17270570,0
2017-08-16,33.028,33.187,32.959,33.058,10654617,0
2017-08-17,32.989,33.147,32.652,32.652,14566324,0
2017-08-18,32.612,32.671,32.354,32.374,15480507,0
2017-08-21,32.305,32.572,32.027,32.463,16810002,0
2017-08-22,32.463,32.919,32.404,32.85,13574386,0
2017-08-23,32.771,33.088,32.771,32.939,16266707,0
2017-08-24,33.068,33.093,32.87,32.929,11623588,0
2017-08-25,32.979,33.316,32.929,33.088,14503368,0
